FIPS,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),Summary Level,Geographic Component,File Identification,Logical Record Number,US,Region,Division,State (Census Code),State (FIPS),County,Census Tract,Geographic Identifier,Tribal Tract,Tribal Block Group,Area (Land),Area (Water),Total Population,Total Population,Population Density (per sq. mile),Area (Land),Households:,"Households: Less than $10,000","Households: $10,000 to $14,999","Households: $15,000 to $19,999","Households: $20,000 to $24,999","Households: $25,000 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $44,999","Households: $45,000 to $49,999","Households: $50,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 to $199,999","Households: $200,000 or More",Median household income (In 2013 Inflation Adjusted Dollars),Median household income (In 2013 Inflation Adjusted Dollars):,Median household income (In 2013 Inflation Adjusted Dollars): White Alone Householder,Median household income (In 2013 Inflation Adjusted Dollars): Black or African American Alone Householder,Median household income (In 2013 Inflation Adjusted Dollars): American Indian and Alaska Native Alone  Householder,Median household income (In 2013 Inflation Adjusted Dollars): Asian Alone,Median household income (In 2013 Inflation Adjusted Dollars): Native Hawaiian and Other Pacific Islander Alone  Householder,Median household income (In 2013 Inflation Adjusted Dollars): Some Other Race Alone Householder,Median household income (In 2013 Inflation Adjusted Dollars): Two or More Races Householder,Median household income (In 2013 Inflation Adjusted Dollars): Hispanic or Latino Householder,"Median household income (In 2013 Inflation Adjusted Dollars): White Alone Householder, not Hispanic or Latino",Average household income (In 2013 Inflation Adjusted Dollars),Median Family Income (In 2013 Inflation adjusted dollars),Average Family Income (In 2013 Inflation adjusted dollars),Median Nonfamily Household Income (In 2013 Inflation Adjusted Dollars),Average Nonfamily Income (In 2013 Inflation Adjusted Dollars),Median Income For Population 15 years and over:,Median Income For Population 15 years and over: Male,"Median Income For Population 15 years and over: Male: Worked full-time, year-round in the past 12 months",Median Income For Population 15 years and over: Male: Other,Median Income For Population 15 years and over: Female,"Median Income For Population 15 years and over: Female: Worked full-time, year-round in the past 12 months",Median Income For Population 15 years and over: Female: Other,Median Earnings:,Median Earnings: Less than high school graduate,Median Earnings: High school graduate (includes equivalency),Median Earnings: Some college or associate's degree,Median Earnings: Bachelor's degree,Median Earnings: Graduate or professional degree,Median Earnings: Male,Median Earnings: Male: Less than high school graduate,Median Earnings: Male: High school graduate (includes equivalency),Median Earnings: Male: Some college or associate's degree,Median Earnings: Male: Bachelor's degree,Median Earnings: Male: Graduate or professional degree,Median Earnings: Female,Median Earnings: Female: Less than high school graduate,Median Earnings: Female: High school graduate (includes equivalency),Median Earnings: Female: Some college or associate's degree,Median Earnings: Female: Bachelor's degree,Median Earnings: Female: Graduate or professional degree,Median Household Income Occupied housing units:,Median Household Income Occupied housing units: Owner occupied,Median Household Income Occupied housing units: Renter occupied,Percent change between Renter Occupied and Home Owner Occupied 2013,Households:,Households: With earnings,Households: No earnings,Households:,Households: With wage or salary income,Households: No wage or salary income,Households:,Households: With self-employment income,Households: No self-employment income,Households:,"Households: With interest, dividends, or net rental income","Households: No interest, dividends, or net rental income",Households:,Households: With Social Security income,Households: No Social Security income,Households:,Households: With Supplemental Security Income (SSI),Households: No Supplemental Security Income (SSI),Households:,Households: With public assistance income,Households: No public assistance income,Households:,Households: With retirement income,Households: No retirement income,Households:,Households: With Other types of income,Households: No Other types of income,Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars)
36005031000,"Census Tract 310, Bronx County, New York","Census Tract 310, Bronx County, New York",ny,140,0,ACSSF,3695,,,,,36,5,31000,14000US36005031000,,,632896,0,4856,4856,19872.12,0.244362522,1189,37,19,11,30,53,42,43,6,24,26,136,133,150,177,205,97,113914,113914,92656,51389,,193281,,134228,71250,133708,99167,110860,122381,123409,67625,68289,35611,43188,64551,16595,31201,65091,9808,57564,56250,44296,59659,51908,61220,63083,59226,44466,59875,80060,74531,48972,36131,43214,59196,50298,44643,113914,117188,39511,-0.662840905,1189,935,254,1189,927,262,1189,67,1122,1189,260,929,1189,477,712,1189,147,1042,1189,0,1189,1189,324,865,1189,135,1054,30271,40673,8481,,30739,,28064,18135,26498,43121
36005042902,"Census Tract 429.02, Bronx County, New York","Census Tract 429.02, Bronx County, New York",ny,140,0,ACSSF,3791,,,,,36,5,42902,14000US36005042902,,,96228,0,3963,3963,106664.6,0.03715384,1488,238,254,157,34,118,91,81,73,66,109,80,84,58,23,0,22,28149,28149,30781,24167,44250,30357,,21429,12143,27554,28409,37716,36574,44988,17917,27097,16418,29831,42865,9473,12472,36641,9598,30000,13661,32917,36372,44688,34583,41147,16328,43125,40539,,53750,15691,11106,11969,35701,40875,34583,28149,76184,25793,-0.661438097,1488,1063,425,1488,1026,462,1488,120,1368,1488,50,1438,1488,271,1217,1488,161,1327,1488,166,1322,1488,108,1380,1488,281,1207,14959,20492,13768,41102,13627,,11632,15294,13705,26566
36005016900,"Census Tract 169, Bronx County, New York","Census Tract 169, Bronx County, New York",ny,140,0,ACSSF,3575,,,,,36,5,16900,14000US36005016900,,,92918,0,1648,1648,45936.2,0.035875842,459,104,37,28,12,19,48,20,19,4,19,53,52,17,18,0,9,33899,33899,8611,34500,,,,34769,,33611,,46150,42188,53468,17560,30444,16756,18352,45795,8920,13611,33644,8781,32273,16842,31741,38047,34688,,34741,16776,33405,61696,,,27375,17554,30804,30000,52750,,33899,91429,31042,-0.660479717,459,316,143,459,316,143,459,34,425,459,27,432,459,78,381,459,38,421,459,63,396,459,74,385,459,105,354,15364,11587,18423,,,,11401,,10553,
36005011800,"Census Tract 118, Bronx County, New York","Census Tract 118, Bronx County, New York",ny,140,0,ACSSF,3539,,,,,36,5,11800,14000US36005011800,,,1081366,2969615,5139,5139,12308.46,0.417517765,1566,61,43,72,91,26,70,98,30,58,81,190,190,203,105,106,142,73508,73508,74706,,,,,65795,,68750,73578,90686,90590,107899,53550,58837,22437,25511,74919,6861,21364,55972,10853,56526,21445,29899,66336,66511,118558,65308,46053,35333,73344,82898,137411,44922,20820,24911,44922,57045,71944,73508,93214,31905,-0.657723089,1566,1209,357,1566,1209,357,1566,30,1536,1566,400,1166,1566,491,1075,1566,45,1521,1566,22,1544,1566,382,1184,1566,109,1457,28893,31368,8717,,12949,,20007,4228,20882,32099
36005035900,"Census Tract 359, Bronx County, New York","Census Tract 359, Bronx County, New York",ny,140,0,ACSSF,3723,,,,,36,5,35900,14000US36005035900,,,126088,0,1903,1903,39089.74,0.048682851,662,174,85,60,44,33,13,44,46,13,42,30,43,15,9,0,11,20750,20750,17188,21053,,,,19438,88266,20625,,34981,21500,37421,16786,24621,13518,12526,33594,7147,15583,35774,10601,21125,11535,23750,32143,28750,63594,21781,11968,30729,4609,,,18250,8333,17813,36250,16477,52500,20750,57045,19625,-0.655973354,662,464,198,662,451,211,662,26,636,662,11,651,662,172,490,662,82,580,662,110,552,662,34,628,662,78,584,13304,16348,14329,,,,11474,16068,12623,21820
36005012300,"Census Tract 123, Bronx County, New York","Census Tract 123, Bronx County, New York",ny,140,0,ACSSF,3543,,,,,36,5,12300,14000US36005012300,,,290974,0,3807,3807,33886.48,0.112345694,1290,432,122,74,116,138,96,18,46,19,93,25,43,68,0,0,0,20966,20966,16576,28176,,,,17134,,16797,,27707,22429,27776,8417,17691,11987,12224,26641,7200,11619,27115,8153,20962,15189,21317,27132,21875,39750,17256,13913,21622,35063,,,21990,17950,20724,27059,21875,41250,20966,48182,16588,-0.655722054,1290,805,485,1290,797,493,1290,26,1264,1290,23,1267,1290,259,1031,1290,187,1103,1290,206,1084,1290,46,1244,1290,198,1092,10069,8060,12300,,,,9256,8619,8853,
36005042300,"Census Tract 423, Bronx County, New York","Census Tract 423, Bronx County, New York",ny,140,0,ACSSF,3785,,,,,36,5,42300,14000US36005042300,,,181174,0,4359,4359,62314.45,0.069951675,1454,168,157,187,81,98,49,53,45,35,110,161,147,79,0,66,18,33700,33700,33250,51202,,29559,,25536,11154,24013,33750,49889,36136,51999,25489,39003,25574,25889,43214,16045,25217,42873,10860,32283,17176,19764,43208,52679,48160,35685,29479,19901,32300,83182,49167,31096,14620,19663,43750,49803,30893,33700,82596,28438,-0.655697612,1454,1096,358,1454,1069,385,1454,116,1338,1454,109,1345,1454,299,1155,1454,120,1334,1454,101,1353,1454,168,1286,1454,113,1341,17989,21241,22614,,13741,,15312,6295,16121,20450
36005043100,"Census Tract 431, Bronx County, New York","Census Tract 431, Bronx County, New York",ny,140,0,ACSSF,3793,,,,,36,5,43100,14000US36005043100,,,214459,0,10786,10786,130260.8,0.082803086,3282,544,261,281,218,242,258,86,82,213,248,249,373,130,32,49,16,31841,31841,31116,34479,,28698,,34130,29554,33656,30246,45081,39783,47908,19833,32635,18051,20254,33780,11339,16003,33351,9431,28015,17135,26565,27135,38576,29113,29144,28641,23784,40508,38750,28871,27486,16003,32991,21844,32292,52969,31841,86053,29643,-0.655526245,3282,2610,672,3282,2459,823,3282,339,2943,3282,65,3217,3282,602,2680,3282,572,2710,3282,232,3050,3282,311,2971,3282,424,2858,14864,23629,16721,,11048,,12545,9199,14768,19839
36005005600,"Census Tract 56, Bronx County, New York","Census Tract 56, Bronx County, New York",ny,140,0,ACSSF,3504,,,,,36,5,5600,14000US36005005600,,,136188,0,2383,2383,45319.27,0.052582483,892,230,85,79,44,20,49,46,104,22,50,35,61,59,0,0,8,26000,26000,22422,19946,,40750,,16827,43990,27313,8438,39067,42564,52156,9834,15495,16670,18250,27128,9609,15344,30375,9328,23409,23409,17340,26000,41250,,25574,23864,17059,32031,,,21889,22250,20524,22264,36250,,26000,63611,22045,-0.653440443,892,561,331,892,561,331,892,22,870,892,20,872,892,306,586,892,131,761,892,63,829,892,67,825,892,106,786,16509,16411,19480,,13921,,12787,22720,15253,4813
36005034400,"Census Tract 344, Bronx County, New York","Census Tract 344, Bronx County, New York",ny,140,0,ACSSF,3716,,,,,36,5,34400,14000US36005034400,,,157012,0,2101,2101,34657,0.060622675,523,30,9,14,25,29,24,10,0,38,23,53,33,60,62,58,55,88313,88313,106964,115625,,66071,,38125,,105089,48571,108160,89940,103927,28409,43229,33534,35185,46026,9030,32130,38597,11071,37885,24567,29236,45406,37976,59479,40781,34107,45101,42375,243203,57917,33385,22750,16607,48190,33977,78750,88313,111771,38750,-0.653308998,523,459,64,523,459,64,523,20,503,523,108,415,523,126,397,523,45,478,523,30,493,523,110,413,523,72,451,30892,30916,36860,,57588,,9183,,23303,31321
36005034800,"Census Tract 348, Bronx County, New York","Census Tract 348, Bronx County, New York",ny,140,0,ACSSF,3718,,,,,36,5,34800,14000US36005034800,,,437468,0,6876,6876,40708.71,0.168907346,2015,395,161,56,147,90,85,162,59,29,170,211,67,182,54,93,54,36294,36294,23514,50946,,,,30363,28558,24365,85357,54063,40805,60393,23438,33540,23283,31411,49867,17627,16378,39618,8093,38537,21500,31829,41644,47791,51466,43850,21515,44256,42240,55833,,34762,21471,30105,38889,38154,52414,36294,78173,27228,-0.651695598,2015,1371,644,2015,1342,673,2015,114,1901,2015,198,1817,2015,580,1435,2015,134,1881,2015,187,1828,2015,326,1689,2015,347,1668,17364,16590,22042,,5129,,10923,5286,10945,21423
36005001600,"Census Tract 16, Bronx County, New York","Census Tract 16, Bronx County, New York",ny,140,0,ACSSF,3476,,,,,36,5,1600,14000US36005001600,,,485079,0,5215,5215,27844.51,0.187290057,1945,216,277,144,157,154,150,96,193,48,124,96,141,70,26,9,44,30817,30817,33194,29967,,,,30633,27292,30467,21094,44608,39922,55652,13884,20870,16206,18651,46061,11469,14709,33775,10861,28279,18956,20372,35057,52051,75417,30494,18465,19750,54267,60521,,27424,23056,20600,29038,51314,43553,30817,75425,26306,-0.651229698,1945,1277,668,1945,1239,706,1945,131,1814,1945,125,1820,1945,655,1290,1945,302,1643,1945,47,1898,1945,148,1797,1945,178,1767,17391,16316,20848,,,,15042,17883,15361,15191
36005008500,"Census Tract 85, Bronx County, New York","Census Tract 85, Bronx County, New York",ny,140,0,ACSSF,3527,,,,,36,5,8500,14000US36005008500,,,181658,0,5946,5946,84775.06,0.070138549,1700,428,149,193,97,42,81,90,52,91,121,134,105,40,35,20,22,23882,23882,31458,19881,,,,35968,14821,28750,52500,38887,33177,38010,15148,27858,14638,16212,26688,7485,13094,32609,9724,23015,15511,27500,34464,31010,31944,23396,17356,29432,36848,,31806,22617,10685,21953,24565,31106,,23882,61691,21676,-0.648635944,1700,1089,611,1700,1008,692,1700,168,1532,1700,93,1607,1700,458,1242,1700,364,1336,1700,165,1535,1700,172,1528,1700,180,1520,12778,20543,10287,,20333,,12040,6694,12680,45421
36005044200,"Census Tract 442, Bronx County, New York","Census Tract 442, Bronx County, New York",ny,140,0,ACSSF,3797,,,,,36,5,44200,14000US36005044200,,,238933,0,4096,4096,44399.86,0.092252551,1235,152,123,106,36,58,85,56,55,34,87,110,168,32,81,37,15,40068,40068,35521,46050,,,,30194,,31056,8833,53046,47450,61758,20357,31117,23182,23170,36806,16875,23194,41333,9618,35250,20970,16442,43271,45700,51850,30815,17386,20466,43625,48355,,37297,22365,11250,43023,45050,50500,40068,80000,28375,-0.6453125,1235,881,354,1235,855,380,1235,35,1200,1235,130,1105,1235,444,791,1235,82,1153,1235,34,1201,1235,209,1026,1235,173,1062,17810,12499,19474,,,,10456,,12615,6313
36005036501,"Census Tract 365.01, Bronx County, New York","Census Tract 365.01, Bronx County, New York",ny,140,0,ACSSF,3728,,,,,36,5,36501,14000US36005036501,,,94274,0,3760,3760,103298.4,0.036399396,1306,302,210,102,75,48,78,91,72,87,80,113,26,9,13,0,0,21875,21875,18750,33464,,,,13452,,17188,,29954,25833,29993,15698,26430,16280,17619,32723,9256,15057,29783,9205,26353,14167,25972,25923,46063,,31397,12434,34444,25862,,,24858,14271,23939,26058,45719,,21875,57125,20553,-0.640210066,1306,792,514,1306,792,514,1306,15,1291,1306,15,1291,1306,218,1088,1306,320,986,1306,245,1061,1306,98,1208,1306,170,1136,11085,12999,12660,,,,7846,4313,9323,
36005036700,"Census Tract 367, Bronx County, New York","Census Tract 367, Bronx County, New York",ny,140,0,ACSSF,3730,,,,,36,5,36700,14000US36005036700,,,92813,0,2467,2467,68842.73,0.035835301,636,108,105,81,95,93,8,5,26,6,75,0,21,5,8,0,0,21017,21017,20893,25500,,,,20878,,21504,,27216,21208,27850,17344,22953,10534,11438,25473,7969,10272,17969,6713,17762,13537,17286,23125,22188,,21344,17500,20388,23958,32625,,15119,13090,16685,22143,,,21017,54400,19659,-0.638621324,636,475,161,636,444,192,636,57,579,636,13,623,636,124,512,636,115,521,636,64,572,636,4,632,636,97,539,7830,8358,6924,,,,8345,,8100,8948
36005016200,"Census Tract 162, Bronx County, New York","Census Tract 162, Bronx County, New York",ny,140,0,ACSSF,3569,,,,,36,5,16200,14000US36005016200,,,180639,0,1791,1791,25679.22,0.069745111,544,46,58,6,16,34,54,13,19,4,11,27,33,102,52,42,27,67778,67778,75156,172974,,,,,,69688,65875,77308,81897,81140,33889,40303,25234,50000,75556,12857,20605,45337,11732,51389,11895,50156,56136,33125,69135,73438,26146,76944,92426,80208,69663,22038,7500,21948,21629,31010,59471,67778,94659,34402,-0.636569159,544,462,82,544,462,82,544,8,536,544,83,461,544,151,393,544,33,511,544,25,519,544,75,469,544,123,421,26288,27538,26328,,,,26469,,26479,26223
36005025100,"Census Tract 251, Bronx County, New York","Census Tract 251, Bronx County, New York",ny,140,0,ACSSF,3655,,,,,36,5,25100,14000US36005025100,,,208059,0,6891,6891,85781.47,0.080332032,2083,364,183,132,120,118,260,106,133,133,112,111,201,57,31,22,0,31541,31541,22045,38286,,,,30323,27596,29557,,39143,31498,37170,30339,37630,17056,21155,27453,9051,15720,27013,10569,23014,16898,20308,29809,38681,25278,25379,16010,21023,31758,45121,14474,20423,18073,19570,25147,38264,25833,31541,85200,31021,-0.635903756,2083,1629,454,2083,1453,630,2083,289,1794,2083,54,2029,2083,212,1871,2083,261,1822,2083,239,1844,2083,127,1956,2083,156,1927,13492,9638,15857,7469,16733,,12814,15368,11752,22627
36005008900,"Census Tract 89, Bronx County, New York","Census Tract 89, Bronx County, New York",ny,140,0,ACSSF,3530,,,,,36,5,8900,14000US36005008900,,,109554,0,3434,3434,81183.88,0.042299038,1175,369,140,120,66,60,67,10,89,29,166,8,15,36,0,0,0,18794,18794,24000,15000,,,,19327,28188,19637,,27167,21544,27439,9677,16058,11752,15469,26398,7677,9630,29228,8397,24464,16789,30440,35000,34483,,22263,16368,30938,22256,,,27000,17557,25000,35588,31979,,18794,49375,17980,-0.635848101,1175,785,390,1175,754,421,1175,31,1144,1175,0,1175,1175,369,806,1175,305,870,1175,148,1027,1175,68,1107,1175,103,1072,10559,13064,6063,,,,12044,7627,11577,
36005025600,"Census Tract 256, Bronx County, New York","Census Tract 256, Bronx County, New York",ny,140,0,ACSSF,3660,,,,,36,5,25600,14000US36005025600,,,189285,0,1790,1790,24492.58,0.07308335,683,21,37,23,68,6,26,139,43,22,27,55,57,110,41,0,8,42337,42337,46042,37438,,63785,,37381,,45511,33750,59718,42039,66174,36576,44026,35146,35785,37148,20302,33924,42604,20000,36615,35188,26290,31706,40417,47050,36058,,35417,31736,36339,47188,38523,19861,25650,31694,42315,46923,42337,101310,36970,-0.635080446,683,571,112,683,548,135,683,55,628,683,65,618,683,138,545,683,4,679,683,37,646,683,135,548,683,34,649,23460,29092,15803,,34196,,19639,4988,20797,30580
36005031600,"Census Tract 316, Bronx County, New York","Census Tract 316, Bronx County, New York",ny,140,0,ACSSF,3698,,,,,36,5,31600,14000US36005031600,,,177170,0,2008,2008,29354.27,0.068405722,638,31,0,46,77,0,60,32,0,13,61,19,161,33,33,33,39,59886,59886,49904,94783,,82917,,52981,,55385,34844,77952,76964,88738,30221,45894,31685,37548,43826,20568,30760,44851,12071,44068,43836,39327,32604,50357,53287,43333,,39183,30703,48500,64625,44401,,43036,43346,90500,48750,59886,88462,32417,-0.633548868,638,525,113,638,525,113,638,4,634,638,122,516,638,171,467,638,21,617,638,0,638,638,98,540,638,55,583,25806,24727,38926,,25415,,18589,33314,19479,24444
36005040800,"Census Tract 408, Bronx County, New York","Census Tract 408, Bronx County, New York",ny,140,0,ACSSF,3774,,,,,36,5,40800,14000US36005040800,,,125995,0,4168,4168,85678.55,0.048646944,1390,158,99,171,133,78,83,77,62,30,140,85,159,66,7,7,35,31687,31687,22321,36406,,109911,,26597,,25726,20938,45789,38676,50925,21908,28659,19769,19190,37163,10373,20307,35117,8315,31058,14057,30726,30031,36888,35833,30603,26058,43144,15938,36103,45000,31188,6360,26682,32721,42344,15833,31687,76313,28036,-0.632618296,1390,1096,294,1390,1075,315,1390,87,1303,1390,111,1279,1390,291,1099,1390,124,1266,1390,126,1264,1390,120,1270,1390,272,1118,16271,10959,16240,,40579,,11794,12941,10100,16801
36005037400,"Census Tract 374, Bronx County, New York","Census Tract 374, Bronx County, New York",ny,140,0,ACSSF,3738,,,,,36,5,37400,14000US36005037400,,,167070,0,3511,3511,54428.97,0.06450609,1386,361,135,155,91,105,77,68,87,52,62,34,82,0,19,45,13,22500,22500,14188,25063,,10455,,26250,57813,20076,,35977,28730,42825,13854,17877,17472,20068,45000,12635,16104,41708,10288,30403,14583,28165,44145,11333,,32917,52917,24189,48026,,,29714,6169,29016,41094,10583,,22500,54583,20179,-0.630306139,1386,809,577,1386,778,608,1386,34,1352,1386,31,1355,1386,353,1033,1386,268,1118,1386,168,1218,1386,187,1199,1386,153,1233,14636,12842,19240,,5037,,7583,11240,9916,
36005043400,"Census Tract 434, Bronx County, New York","Census Tract 434, Bronx County, New York",ny,140,0,ACSSF,3794,,,,,36,5,43400,14000US36005043400,,,350701,0,3515,3515,25958.89,0.135406419,1213,126,118,69,74,102,77,76,64,61,101,50,201,24,10,39,21,37601,37601,13778,42450,,101125,,20978,,20163,13556,49231,51354,60099,25625,31957,25234,26688,35074,11011,21822,30729,12230,29805,19771,30321,32411,31875,20250,35294,19228,36618,37528,57679,,27391,20833,26797,31875,31484,,37601,84167,31373,-0.627252961,1213,972,241,1213,965,248,1213,55,1158,1213,60,1153,1213,251,962,1213,46,1167,1213,51,1162,1213,77,1136,1213,188,1025,18971,11346,18651,,32020,,15450,57382,12075,14032
36005020200,"Census Tract 202, Bronx County, New York","Census Tract 202, Bronx County, New York",ny,140,0,ACSSF,3597,,,,,36,5,20200,14000US36005020200,,,124809,0,2267,2267,47043.91,0.048189026,760,81,74,40,45,57,33,58,52,28,75,33,85,28,49,8,14,39259,39259,20938,47431,,44293,,37404,13750,35240,20438,51844,43077,57347,20375,33905,26259,30903,35139,16792,21647,31944,14448,31833,37250,31528,27344,29734,50179,38646,51250,38750,27442,50781,,28086,30000,26174,27019,28828,50179,39259,83500,31250,-0.625748503,760,576,184,760,573,187,760,8,752,760,52,708,760,185,575,760,83,677,760,75,685,760,73,687,760,88,672,19256,23593,22117,29558,15779,,16449,25091,20081,24471
36005009200,"Census Tract 92, Bronx County, New York","Census Tract 92, Bronx County, New York",ny,140,0,ACSSF,3532,,,,,36,5,9200,14000US36005009200,,,308605,0,5255,5255,44102.94,0.119153062,1706,291,169,124,170,75,80,48,57,60,152,146,189,27,62,9,47,30845,30845,31136,31974,,21016,,32226,14615,31947,44886,48419,30438,50043,30114,38415,18715,21579,42150,9791,16201,38671,9322,30617,20256,21742,32394,42639,60592,35046,24306,20938,39964,31641,61447,26635,14659,27723,25673,48304,58839,30845,74167,27933,-0.623376974,1706,1291,415,1706,1216,490,1706,115,1591,1706,159,1547,1706,265,1441,1706,167,1539,1706,139,1567,1706,137,1569,1706,223,1483,16805,23348,18927,,24509,,12280,33971,14979,24500
36005015700,"Census Tract 157, Bronx County, New York","Census Tract 157, Bronx County, New York",ny,140,0,ACSSF,3564,,,,,36,5,15700,14000US36005015700,,,320053,0,3296,3296,26672.46,0.123573159,1101,210,134,107,94,67,55,29,54,33,153,78,53,0,10,14,10,26250,26250,23295,30919,,,,27554,,17198,,36636,28192,38209,16897,27536,16504,18816,27257,11383,15469,28322,9489,25687,24162,21836,26863,62935,64375,25757,29318,21250,27422,,,25493,23085,25987,25921,41932,64598,26250,62609,23606,-0.622961555,1101,790,311,1101,790,311,1101,48,1053,1101,7,1094,1101,174,927,1101,222,879,1101,64,1037,1101,87,1014,1101,122,979,13571,16888,19810,,,,9448,5135,9751,
36005004200,"Census Tract 42, Bronx County, New York","Census Tract 42, Bronx County, New York",ny,140,0,ACSSF,3493,,,,,36,5,4200,14000US36005004200,,,483365,0,7429,7429,39806.4,0.186628278,2702,360,295,508,126,143,146,84,139,156,105,403,91,80,66,0,0,27868,27868,17157,37429,,,,31285,52833,19132,,37429,31917,41036,17000,29442,14583,14975,45429,9294,14469,44670,9710,31544,13674,18608,41141,48619,64688,38185,14260,55179,38344,44115,,30919,12532,16779,43047,52303,70144,27868,68106,25990,-0.618388982,2702,1851,851,2702,1851,851,2702,144,2558,2702,25,2677,2702,967,1735,2702,573,2129,2702,154,2548,2702,475,2227,2702,317,2385,14492,9852,17461,9605,10026,,13028,14658,10983,16663
36005039100,"Census Tract 391, Bronx County, New York","Census Tract 391, Bronx County, New York",ny,140,0,ACSSF,3754,,,,,36,5,39100,14000US36005039100,,,206377,0,6837,6837,85802.91,0.079682609,2251,403,323,154,281,120,95,58,153,87,175,153,86,74,24,65,0,24193,24193,24512,27438,,19350,,22379,,26116,21438,36851,25635,36285,18109,36215,15233,20340,26856,9174,11953,29300,9292,23378,20060,16042,34467,50887,40547,28241,21182,24570,40104,60870,29740,16487,9441,12692,33053,27391,40938,24193,60139,22977,-0.617935117,2251,1639,612,2251,1639,612,2251,124,2127,2251,50,2201,2251,412,1839,2251,291,1960,2251,238,2013,2251,172,2079,2251,271,1980,13356,12169,15887,,13756,,13395,11793,13365,12040
36005036400,"Census Tract 364, Bronx County, New York","Census Tract 364, Bronx County, New York",ny,140,0,ACSSF,3727,,,,,36,5,36400,14000US36005036400,,,202212,0,2204,2204,28229.45,0.078074493,833,95,67,76,29,20,65,16,41,28,17,90,152,94,30,7,6,45815,45815,,46739,,,,,,22391,,56429,68094,65320,18654,30709,26739,29712,47560,16103,26322,34934,14978,33314,33906,31579,30469,47679,81417,34783,41875,52723,32056,49464,,32529,32500,31118,26450,40156,81083,45815,84286,32240,-0.617492822,833,643,190,833,623,210,833,33,800,833,89,744,833,256,577,833,50,783,833,37,796,833,124,709,833,84,749,23156,,22819,,,,18141,,31211,
36005026900,"Census Tract 269, Bronx County, New York","Census Tract 269, Bronx County, New York",ny,140,0,ACSSF,3670,,,,,36,5,26900,14000US36005026900,,,385392,27111,3082,3082,20712.27,0.148800689,1305,231,100,46,150,110,74,108,39,53,107,64,131,79,0,10,3,31336,31336,33036,33558,,51379,,28264,14167,29167,27813,40353,29318,44898,27426,31670,21929,31233,35741,13243,16344,33851,9352,29641,21118,30250,32207,46731,58500,32329,21563,29844,31941,41875,,25188,21046,32632,33194,47308,58667,31336,73750,28210,-0.617491525,1305,1062,243,1305,1035,270,1305,115,1190,1305,31,1274,1305,189,1116,1305,150,1155,1305,21,1284,1305,92,1213,1305,237,1068,18018,20571,22035,,35502,,15903,9824,16932,10750
36005041800,"Census Tract 418, Bronx County, New York","Census Tract 418, Bronx County, New York",ny,140,0,ACSSF,3780,,,,,36,5,41800,14000US36005041800,,,269141,0,3931,3931,37828.66,0.103915925,1261,219,130,48,48,51,73,96,25,56,77,142,139,83,50,24,0,38165,38165,12159,51713,,,,24042,110682,18611,33824,48333,38351,49303,33031,33458,21032,28116,32415,9234,15123,31932,7979,30215,21927,30056,29132,37378,50321,31820,21625,32444,35000,35833,,23152,22431,17102,20924,47070,50321,38165,88482,34281,-0.612565268,1261,1059,202,1261,1049,212,1261,63,1198,1261,66,1195,1261,276,985,1261,108,1153,1261,79,1182,1261,101,1160,1261,85,1176,17135,17596,18267,,,,10722,39750,10002,18628
36005016000,"Census Tract 160, Bronx County, New York","Census Tract 160, Bronx County, New York",ny,140,0,ACSSF,3567,,,,,36,5,16000,14000US36005016000,,,494420,2614648,4385,4385,22970.55,0.190896637,1495,57,82,84,47,9,26,0,118,46,98,124,138,204,143,193,126,85104,85104,75638,,,,,116516,,115293,75638,98168,109904,120044,19224,36153,43447,51111,65350,18894,39680,46974,13139,52537,33233,54087,47346,57719,64125,58604,35288,75505,57171,57758,67450,46031,33168,35417,41974,54896,53850,85104,120000,47212,-0.606566667,1495,1268,227,1495,1222,273,1495,135,1360,1495,232,1263,1495,496,999,1495,0,1495,1495,0,1495,1495,272,1223,1495,149,1346,36013,36039,,,24667,,42898,20204,36638,36681
36005022701,"Census Tract 227.01, Bronx County, New York","Census Tract 227.01, Bronx County, New York",ny,140,0,ACSSF,3625,,,,,36,5,22701,14000US36005022701,,,117009,0,5880,5880,130153.5,0.045177429,1758,301,170,176,52,106,124,117,77,81,172,142,157,62,21,0,0,32079,32079,62596,33964,,,,28007,37159,30572,109107,39080,31208,36620,29500,39298,15890,17515,32611,9084,14992,25825,9961,21115,13143,25513,20616,34007,31799,22109,16250,27105,22250,33051,42125,19720,11698,22781,19659,45000,31280,32079,78984,31166,-0.605413755,1758,1377,381,1758,1369,389,1758,153,1605,1758,58,1700,1758,305,1453,1758,353,1405,1758,113,1645,1758,120,1638,1758,207,1551,13387,17546,15317,,30516,,10881,10542,12229,26630
