FIPS,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),Summary Level,Geographic Component,File Identification,Logical Record Number,US,Region,Division,State (Census Code),State (FIPS),County,Census Tract,Geographic Identifier,Tribal Tract,Tribal Block Group,Area (Land),Area (Water),Total Population,Total Population,Population Density (per sq. mile),Area (Land),Households:,"Households: Less than $10,000","Households: $10,000 to $14,999","Households: $15,000 to $19,999","Households: $20,000 to $24,999","Households: $25,000 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $44,999","Households: $45,000 to $49,999","Households: $50,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 to $199,999","Households: $200,000 or More",Median household income (In 2013 Inflation Adjusted Dollars),Median household income (In 2013 Inflation Adjusted Dollars):,Median household income (In 2013 Inflation Adjusted Dollars): White Alone Householder,Median household income (In 2013 Inflation Adjusted Dollars): Black or African American Alone Householder,Median household income (In 2013 Inflation Adjusted Dollars): American Indian and Alaska Native Alone  Householder,Median household income (In 2013 Inflation Adjusted Dollars): Asian Alone,Median household income (In 2013 Inflation Adjusted Dollars): Native Hawaiian and Other Pacific Islander Alone  Householder,Median household income (In 2013 Inflation Adjusted Dollars): Some Other Race Alone Householder,Median household income (In 2013 Inflation Adjusted Dollars): Two or More Races Householder,Median household income (In 2013 Inflation Adjusted Dollars): Hispanic or Latino Householder,"Median household income (In 2013 Inflation Adjusted Dollars): White Alone Householder, not Hispanic or Latino",Average household income (In 2013 Inflation Adjusted Dollars),Median Family Income (In 2013 Inflation adjusted dollars),Average Family Income (In 2013 Inflation adjusted dollars),Median Nonfamily Household Income (In 2013 Inflation Adjusted Dollars),Average Nonfamily Income (In 2013 Inflation Adjusted Dollars),Median Income For Population 15 years and over:,Median Income For Population 15 years and over: Male,"Median Income For Population 15 years and over: Male: Worked full-time, year-round in the past 12 months",Median Income For Population 15 years and over: Male: Other,Median Income For Population 15 years and over: Female,"Median Income For Population 15 years and over: Female: Worked full-time, year-round in the past 12 months",Median Income For Population 15 years and over: Female: Other,Median Earnings:,Median Earnings: Less than high school graduate,Median Earnings: High school graduate (includes equivalency),Median Earnings: Some college or associate's degree,Median Earnings: Bachelor's degree,Median Earnings: Graduate or professional degree,Median Earnings: Male,Median Earnings: Male: Less than high school graduate,Median Earnings: Male: High school graduate (includes equivalency),Median Earnings: Male: Some college or associate's degree,Median Earnings: Male: Bachelor's degree,Median Earnings: Male: Graduate or professional degree,Median Earnings: Female,Median Earnings: Female: Less than high school graduate,Median Earnings: Female: High school graduate (includes equivalency),Median Earnings: Female: Some college or associate's degree,Median Earnings: Female: Bachelor's degree,Median Earnings: Female: Graduate or professional degree,Median Household Income Occupied housing units:,Median Household Income Occupied housing units: Owner occupied,Median Household Income Occupied housing units: Renter occupied,Percent change between Renter Occupied and Home Owner Occupied 2013,Households:,Households: With earnings,Households: No earnings,Households:,Households: With wage or salary income,Households: No wage or salary income,Households:,Households: With self-employment income,Households: No self-employment income,Households:,"Households: With interest, dividends, or net rental income","Households: No interest, dividends, or net rental income",Households:,Households: With Social Security income,Households: No Social Security income,Households:,Households: With Supplemental Security Income (SSI),Households: No Supplemental Security Income (SSI),Households:,Households: With public assistance income,Households: No public assistance income,Households:,Households: With retirement income,Households: No retirement income,Households:,Households: With Other types of income,Households: No Other types of income,Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars)
36005014100,"Census Tract 141, Bronx County, New York","Census Tract 141, Bronx County, New York",ny,140,0,ACSSF,3553,,,,,36,5,14100,14000US36005014100,,,177102,0,3775,3775,55206.63,0.068379467,1523,227,127,190,103,89,132,146,126,70,66,78,117,13,35,0,4,30850,30850,23182,37587,70313,,,19810,18409,22614,12841,36508,35375,38527,26875,31463,19475,23333,34792,9781,17645,35401,8882,29229,17472,28618,35707,37619,72875,29635,21538,32604,39737,28036,,28810,16875,27817,32179,38601,74125,30850,142563,29766,-0.791208097,1523,1197,326,1523,1197,326,1523,17,1506,1523,51,1472,1523,321,1202,1523,221,1302,1523,200,1323,1523,134,1389,1523,169,1354,15807,11949,19266,28085,7487,,13842,14906,13484,13624
36005044800,"Census Tract 448, Bronx County, New York","Census Tract 448, Bronx County, New York",ny,140,0,ACSSF,3799,,,,,36,5,44800,14000US36005044800,,,168089,0,2172,2172,33467.12,0.064899528,676,0,12,64,0,0,54,17,30,35,23,18,194,16,82,98,33,84875,84875,71563,84125,,,,93276,,93276,,92385,93257,97925,34570,48449,42184,42419,53895,13594,42043,52584,23500,48500,,41516,51800,45673,78379,44267,,43000,40568,43472,78333,51094,,40660,72528,46202,78750,84875,94246,19766,-0.790272266,676,611,65,676,611,65,676,66,610,676,69,607,676,185,491,676,9,667,676,6,670,676,230,446,676,62,614,33083,56746,31155,,20664,,25701,68524,34806,47706
36005007700,"Census Tract 77, Bronx County, New York","Census Tract 77, Bronx County, New York",ny,140,0,ACSSF,3522,,,,,36,5,7700,14000US36005007700,,,112826,0,1866,1866,42835.14,0.043562364,594,84,35,120,31,44,31,60,0,29,37,11,35,47,5,25,0,27250,27250,48500,36397,,,,19485,,22500,,43043,32143,44193,17692,27026,18039,17672,41136,11750,20521,30847,9796,29020,12500,27353,35511,55625,37411,35208,15880,36875,38523,,,27838,12083,22457,35256,29239,37411,27250,94286,20000,-0.787879431,594,428,166,594,418,176,594,53,541,594,39,555,594,71,523,594,104,490,594,102,492,594,50,544,594,89,505,15234,17176,14929,,,,13924,,14645,
36005004400,"Census Tract 44, Bronx County, New York","Census Tract 44, Bronx County, New York",ny,140,0,ACSSF,3495,,,,,36,5,4400,14000US36005004400,,,263379,0,4780,4780,47005.05,0.101691205,1668,422,227,166,141,103,76,51,96,67,47,110,50,40,28,11,33,21033,21033,10978,24000,,101250,,28419,10292,18235,,36338,26675,40886,11238,25185,13836,12094,31554,8756,15167,29286,10186,27086,32917,23692,26888,38839,,29438,42546,23074,40221,43229,,26077,32865,24509,25731,35227,,21033,87679,18737,-0.786300026,1668,976,692,1668,926,742,1668,50,1618,1668,34,1634,1668,598,1070,1668,381,1287,1668,205,1463,1668,163,1505,1668,183,1485,14240,9189,15607,,35686,,13501,3637,11271,2795
36005003800,"Census Tract 38, Bronx County, New York","Census Tract 38, Bronx County, New York",ny,140,0,ACSSF,3489,,,,,36,5,3800,14000US36005003800,,,63397,0,1291,1291,52741.84,0.02447772,397,77,18,56,34,0,11,5,0,19,22,33,54,61,0,0,7,36250,36250,31875,21544,,,,62045,,61061,,55400,56375,60593,16618,23175,20299,22054,63750,15156,15769,25919,10938,26066,15242,27250,22243,26927,91078,62917,15489,,63036,,91509,22372,12396,27250,21397,26927,,36250,76786,16616,-0.783606387,397,293,104,397,289,108,397,11,386,397,41,356,397,97,300,397,27,370,397,28,369,397,69,328,397,87,310,19179,40662,12852,,,,18034,13910,18597,183252
36005003900,"Census Tract 39, Bronx County, New York","Census Tract 39, Bronx County, New York",ny,140,0,ACSSF,3490,,,,,36,5,3900,14000US36005003900,,,216210,0,6049,6049,72461.2,0.083479151,1894,428,152,126,218,154,90,140,85,7,94,106,57,137,7,88,5,25513,25513,23427,25878,,,,26705,,24524,74250,40868,26667,43764,15227,27884,16253,17315,31844,11199,13000,28881,8788,22164,14833,19260,33878,34024,110947,21921,15637,18571,39295,63125,,22579,9550,25440,22361,33373,,25513,112596,24546,-0.781999361,1894,1298,596,1894,1231,663,1894,128,1766,1894,61,1833,1894,506,1388,1894,391,1503,1894,86,1808,1894,167,1727,1894,231,1663,14479,13644,15274,,55663,,13251,,12430,44591
36005039901,"Census Tract 399.01, Bronx County, New York","Census Tract 399.01, Bronx County, New York",ny,140,0,ACSSF,3762,,,,,36,5,39901,14000US36005039901,,,153031,0,5169,5169,87483.24,0.059085602,1621,223,229,130,179,107,130,73,76,55,125,95,81,62,31,25,0,26509,26509,15000,26518,30536,58333,,30581,20909,25208,19732,37802,30019,41186,20586,27045,15656,20588,26535,10405,12509,23947,9693,22133,20329,22989,26055,39643,58194,25827,21118,25814,30298,39345,60987,18207,18663,9258,21364,40568,,26509,118920,26006,-0.78131517,1621,1163,458,1621,1127,494,1621,120,1501,1621,73,1548,1621,313,1308,1621,306,1315,1621,163,1458,1621,45,1576,1621,242,1379,13186,9679,14765,7487,23290,,12620,8111,11646,26624
36005017300,"Census Tract 173, Bronx County, New York","Census Tract 173, Bronx County, New York",ny,140,0,ACSSF,3577,,,,,36,5,17300,14000US36005017300,,,165274,0,6356,6356,99604.07,0.063812651,2195,592,322,108,232,51,187,84,96,138,151,28,41,89,55,21,0,22699,22699,22938,19830,,27000,,22807,40040,21977,,32176,31238,38417,11456,20240,13438,16594,29634,9406,9868,31400,8217,27530,22606,23432,38997,28920,,31250,27562,24703,39477,46250,,21783,11620,21486,36125,,,22699,94107,20706,-0.77997386,2195,1417,778,2195,1406,789,2195,76,2119,2195,45,2150,2195,626,1569,2195,462,1733,2195,300,1895,2195,176,2019,2195,278,1917,12018,14464,11439,864,8015,,13026,10760,13209,
36005008600,"Census Tract 86, Bronx County, New York","Census Tract 86, Bronx County, New York",ny,140,0,ACSSF,3528,,,,,36,5,8600,14000US36005008600,,,187649,0,3558,3558,49108.59,0.072451687,1376,303,244,139,101,93,106,50,84,21,42,85,60,20,11,17,0,20069,20069,21333,14750,,,,17411,26375,19833,,30414,27003,37930,10492,11511,12438,23914,33311,9646,10781,23625,9557,23294,13491,24944,25515,38446,,26566,22639,26897,40804,40938,,16568,11333,22222,20234,38243,,20069,73125,16460,-0.774905983,1376,846,530,1376,804,572,1376,42,1334,1376,58,1318,1376,607,769,1376,350,1026,1376,41,1335,1376,161,1215,1376,155,1221,12736,15086,9768,,11333,,13782,4750,13486,50855
36005037100,"Census Tract 371, Bronx County, New York","Census Tract 371, Bronx County, New York",ny,140,0,ACSSF,3735,,,,,36,5,37100,14000US36005037100,,,198177,0,3548,3548,46369.04,0.076516571,1633,546,149,136,133,87,44,96,88,23,56,83,161,22,9,0,0,19467,19467,13177,26010,,,,18586,9891,17016,,30914,28056,39185,9920,21002,15240,14602,39188,9625,17019,36047,9706,26675,26364,26364,25134,22391,83026,31974,39886,34625,10938,49196,82632,24509,14338,20197,29485,21359,,19467,73345,16792,-0.771054605,1633,927,706,1633,848,785,1633,86,1547,1633,47,1586,1633,441,1192,1633,381,1252,1633,225,1408,1633,128,1505,1633,268,1365,15049,15344,15422,,,,15033,6800,14915,19082
