FIPS,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),Summary Level,Geographic Component,File Identification,Logical Record Number,US,Region,Division,State (Census Code),State (FIPS),County,County Subdivision (FIPS),Place (FIPS Code),Place (State FIPS + Place FIPS),Census Tract,Block Group,Consolidated City,American Indian Area/Alaska Native Area/Hawaiian Home Land (Census),American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS),American Indian Trust Land/Hawaiian Home Land Indicator,American Indian Tribal Subdivision (Census),American Indian Tribal Subdivision (FIPS),Alaska Native Regional Corporation (FIPS),Metropolitan and Micropolitan Statistical Area,Combined Statistical Area,Metropolitan Division,Metropolitan Area Central City,Metropolitan/Micropolitan Indicator Flag,New England City and Town Combined Statistical Area,New England City and Town Area,New England City and Town Area Division,Urban Area,Urban Area Central Place,Current Congressional District ***,State Legislative District Upper,State Legislative District Lower,Voting District,ZIP Code Tabulation Area (3-digit),ZIP Code Tabulation Area (5-digit),Subbarrio (FIPS),School District (Elementary),School District (Secondary),School District (Unified),Urban/Rural,Principal City Indicator,Traffic Analysis Zone,Urban Growth Area,Public Use Microdata Area - 5% File,Public Use Microdata Area - 1% File,Geographic Identifier,Tribal Tract,Tribal Block Group,Area (Land),Area (Water),Total Population,Total Population,Population Density (per sq. mile),Area (Land),Households:,"Households: Less than $10,000","Households: $10,000 to $14,999","Households: $15,000 to $19,999","Households: $20,000 to $24,999","Households: $25,000 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $44,999","Households: $45,000 to $49,999","Households: $50,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 to $199,999","Households: $200,000 or More",Median household income (In 2013 Inflation Adjusted Dollars),Median household income (In 2013 Inflation Adjusted Dollars):,Median household income (In 2013 Inflation Adjusted Dollars): White Alone Householder,Median household income (In 2013 Inflation Adjusted Dollars): Black or African American Alone Householder,Median household income (In 2013 Inflation Adjusted Dollars): American Indian and Alaska Native Alone  Householder,Median household income (In 2013 Inflation Adjusted Dollars): Asian Alone,Median household income (In 2013 Inflation Adjusted Dollars): Native Hawaiian and Other Pacific Islander Alone  Householder,Median household income (In 2013 Inflation Adjusted Dollars): Some Other Race Alone Householder,Median household income (In 2013 Inflation Adjusted Dollars): Two or More Races Householder,Median household income (In 2013 Inflation Adjusted Dollars): Hispanic or Latino Householder,"Median household income (In 2013 Inflation Adjusted Dollars): White Alone Householder, not Hispanic or Latino",Average household income (In 2013 Inflation Adjusted Dollars),Median Family Income (In 2013 Inflation adjusted dollars),Average Family Income (In 2013 Inflation adjusted dollars),Median Nonfamily Household Income (In 2013 Inflation Adjusted Dollars),Average Nonfamily Income (In 2013 Inflation Adjusted Dollars),Median Income For Population 15 years and over:,Median Income For Population 15 years and over: Male,"Median Income For Population 15 years and over: Male: Worked full-time, year-round in the past 12 months",Median Income For Population 15 years and over: Male: Other,Median Income For Population 15 years and over: Female,"Median Income For Population 15 years and over: Female: Worked full-time, year-round in the past 12 months",Median Income For Population 15 years and over: Female: Other,Median Earnings:,Median Earnings: Less than high school graduate,Median Earnings: High school graduate (includes equivalency),Median Earnings: Some college or associate's degree,Median Earnings: Bachelor's degree,Median Earnings: Graduate or professional degree,Median Earnings: Male,Median Earnings: Male: Less than high school graduate,Median Earnings: Male: High school graduate (includes equivalency),Median Earnings: Male: Some college or associate's degree,Median Earnings: Male: Bachelor's degree,Median Earnings: Male: Graduate or professional degree,Median Earnings: Female,Median Earnings: Female: Less than high school graduate,Median Earnings: Female: High school graduate (includes equivalency),Median Earnings: Female: Some college or associate's degree,Median Earnings: Female: Bachelor's degree,Median Earnings: Female: Graduate or professional degree,Median Household Income Occupied housing units:,Median Household Income Occupied housing units: Owner occupied,Median Household Income Occupied housing units: Renter occupied,Percent Difference Median Income House Owner Occupied and Renter Occupied,Households:,Households: With earnings,Households: No earnings,Households:,Households: With wage or salary income,Households: No wage or salary income,Households:,Households: With self-employment income,Households: No self-employment income,Households:,"Households: With interest, dividends, or net rental income","Households: No interest, dividends, or net rental income",Households:,Households: With Social Security income,Households: No Social Security income,Households:,Households: With Supplemental Security Income (SSI),Households: No Supplemental Security Income (SSI),Households:,Households: With public assistance income,Households: No public assistance income,Households:,Households: With retirement income,Households: No retirement income,Households:,Households: With Other types of income,Households: No Other types of income,Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars)
10410461,10461 ZCTA5,10461 ZCTA5,us,860,0,ACSSF,13131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,10461,,,,,,,,,,,86000US10461,,,6215148,0,51730,51730,21557.02,2.399682161,19330,1667,1065,903,893,856,1297,633,966,986,1523,1932,2256,1828,1188,765,572,52347,52347,51339,50393,94464,62500,,50996,57159,53717,49675,67092,64710,77155,34075,46760,30529,35190,46865,16648,24958,44926,12852,41835,26184,33795,44295,48464,57438,43994,30904,38885,47255,51628,56468,38916,20409,30425,41464,45256,58438,52347,78574,44688,-43%,19330,14417,4913,19330,14042,5288,19330,1044,18286,19330,2824,16506,19330,5556,13774,19330,1121,18209,19330,586,18744,19330,3338,15992,19330,2048,17282,26630,31243,21951,32573,21836,,22887,13458,23275,32042
10410462,10462 ZCTA5,10462 ZCTA5,us,860,0,ACSSF,13132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,10462,,,,,,,,,,,86000US10462,,,3833088,11823,77369,77369,52277.64,1.479963614,28908,3270,1948,1438,1641,1592,1481,1228,1593,1490,2388,3321,3847,1739,921,693,318,45864,45864,43709,52154,36630,50806,,40151,57179,42230,43201,55062,49361,61161,36663,41389,26573,31219,44725,13762,23240,41588,10995,37795,21003,30256,40411,46892,55932,40623,26300,32129,44191,47305,56544,35669,16975,25669,35998,46367,55795,45864,62901,42057,-33%,28908,22548,6360,28908,22024,6884,28908,1670,27238,28908,2137,26771,28908,6280,22628,28908,2346,26562,28908,1148,27760,28908,3363,25545,28908,2752,26156,21836,24575,26098,13951,17645,,17879,23060,19423,25310
10410463,10463 ZCTA5,10463 ZCTA5,us,860,0,ACSSF,13133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,10463,,,,,,,,,,,86000US10463,,,3745408,346374,70420,70420,48696.15,1.446110175,27261,2242,1377,1290,1698,1330,1285,1157,1311,1040,1939,2940,3066,2216,1163,1682,1525,54258,54258,66616,42221,178958,80539,,41702,46653,41199,74387,76187,62345,86895,41033,56282,29454,31976,52190,14113,26602,50056,12505,40683,19525,25672,37652,51051,74044,41985,24028,26257,40598,53722,77281,39058,15359,25222,32807,49985,71285,54258,84650,42460,-50%,27261,20856,6405,27261,20059,7202,27261,2988,24273,27261,4906,22355,27261,8044,19217,27261,2092,25169,27261,1179,26082,27261,4235,23026,27261,3028,24233,30875,42145,22140,50903,46430,20436,18780,18687,19710,48235
10410464,10464 ZCTA5,10464 ZCTA5,us,860,0,ACSSF,13134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,10464,,,,,,,,,,,86000US10464,,,9070627,236605,4248,4248,1212.956,3.502188813,2062,185,89,45,132,95,0,30,74,41,194,271,229,222,229,164,62,70078,70078,69194,69297,,,,73882,,72632,70176,79490,98167,102403,35417,53368,40647,47286,61578,21042,30136,70887,16451,58047,20294,39583,53062,70083,80156,60984,24722,53553,54257,70042,61837,53571,16333,20000,41364,72583,82057,70078,101447,42639,-58%,2062,1532,530,2062,1464,598,2062,186,1876,2062,509,1553,2062,672,1390,2062,90,1972,2062,0,2062,2062,433,1629,2062,232,1830,39454,41764,25818,,,,32116,16165,30612,42390
10410465,10465 ZCTA5,10465 ZCTA5,us,860,0,ACSSF,13135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,10465,,,,,,,,,,,86000US10465,,,8882828,118,44862,44862,13080.52,3.429679211,15572,1016,986,899,724,501,633,466,459,589,1075,1343,2188,1774,967,1098,854,65450,65450,70600,43929,33458,103750,,59509,50500,66906,67778,80849,80118,93764,37837,47836,32599,44227,62120,16895,24002,47869,12055,49061,27455,42438,49442,57199,71229,56136,40615,51264,58621,60955,74036,41502,24963,33768,41509,51208,69292,65450,91795,43355,-53%,15572,11730,3842,15572,11496,4076,15572,824,14748,15572,2675,12897,15572,5422,10150,15572,891,14681,15572,368,15204,15572,3293,12279,15572,1632,13940,29953,33630,19238,10350,32804,,25589,16267,27621,33778
10410466,10466 ZCTA5,10466 ZCTA5,us,860,0,ACSSF,13136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,10466,,,,,,,,,,,86000US10466,,,5227062,5688,70609,70609,34986.47,2.018180007,22595,2637,1488,1459,1176,1127,1435,1121,1030,741,1882,2149,2977,1405,765,860,343,44012,44012,30558,51207,2499,88201,,22133,48359,26951,25383,56383,51754,62965,26168,35875,25287,27178,40877,11807,22449,37958,10039,33567,21864,28918,35485,41798,67052,35600,26015,31846,37530,44399,69375,32625,19592,26130,34601,40982,64462,44012,73949,31920,-57%,22595,17824,4771,22595,17554,5041,22595,1004,21591,22595,1530,21065,22595,5808,16787,22595,1811,20784,22595,1184,21411,22595,2872,19723,22595,2660,19935,19925,21290,21001,11167,27385,,11880,17678,14291,25253
10410467,10467 ZCTA5,10467 ZCTA5,us,860,0,ACSSF,13137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,10467,,,,,,,,,,,86000US10467,,,6035762,0,98754,98754,42376.04,2.330420836,34796,5720,2913,2570,1906,2117,1769,1876,1293,1535,3115,2877,3567,1925,886,484,243,36048,36048,34385,39388,45877,40875,,32184,28178,31762,39104,47693,39663,52306,22422,34856,21461,24706,38299,11545,18077,37415,9867,32355,20182,27762,36825,45132,55374,35866,25370,30576,43731,42040,53934,30544,15231,21832,32284,46551,56476,36048,72669,31878,-56%,34796,26013,8783,34796,24999,9797,34796,2424,32372,34796,1571,33225,34796,7655,27141,34796,3656,31140,34796,2295,32501,34796,3524,31272,34796,3864,30932,18137,21890,20490,16727,14371,,14791,11017,15573,25967
10410468,10468 ZCTA5,10468 ZCTA5,us,860,0,ACSSF,13138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,10468,,,,,,,,,,,86000US10468,,,2784853,45100,71822,71822,66796.39,1.0752378,23680,3593,2176,1734,1437,1614,1615,1350,1114,1220,2233,1895,1986,836,391,271,215,33776,33776,28295,41783,20909,49833,,31314,35552,30240,30625,43327,35396,45258,27232,34571,17672,20911,28666,10442,15126,33008,9676,25162,16633,23586,28295,35849,52080,26053,21211,26229,28944,29324,51583,22569,13552,20851,27599,36445,52141,33776,67573,31813,-53%,23680,18694,4986,23680,17964,5716,23680,2447,21233,23680,1076,22604,23680,4504,19176,23680,3188,20492,23680,1578,22102,23680,2053,21627,23680,3960,19720,15537,17158,19198,10759,20168,,13564,11933,13560,20768
10410469,10469 ZCTA5,10469 ZCTA5,us,860,0,ACSSF,13139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,10469,,,,,,,,,,,86000US10469,,,6414680,0,71843,71843,29007.29,2.4767219,21832,2097,952,1091,1141,815,1045,1013,798,854,1472,2506,2805,1918,1370,1281,674,57776,57776,58393,58639,86298,79453,,45086,58480,47731,56663,69598,65942,77491,30006,41173,30181,34498,48026,15028,25650,42631,11750,40670,26760,32676,40729,48655,62574,44308,34175,39873,45241,56236,63773,37222,21571,30098,34641,44974,61910,57776,78853,38884,-51%,21832,17142,4690,21832,16852,4980,21832,1311,20521,21832,2934,18898,21832,5683,16149,21832,1527,20305,21832,936,20896,21832,3578,18254,21832,2262,19570,22960,27675,22721,21919,27281,24173,18117,18852,19822,28410
10410470,10470 ZCTA5,10470 ZCTA5,us,860,0,ACSSF,13140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,10470,,,,,,,,,,,86000US10470,,,3689950,3918,14850,14850,10423.26,1.424697721,5801,342,355,185,200,271,312,230,230,229,612,486,915,658,336,355,85,58600,58600,63194,50680,34135,52108,,50521,98000,51319,70030,69446,75429,80521,50115,53347,35062,39894,50000,21406,28875,45716,13029,42007,22278,36291,43510,47697,58150,44850,25560,38520,44453,50408,72841,39547,21571,34107,42520,45662,50600,58600,85731,50719,-41%,5801,4480,1321,5801,4311,1490,5801,313,5488,5801,754,5047,5801,1666,4135,5801,204,5597,5801,172,5629,5801,1044,4757,5801,463,5338,28734,34902,25162,19100,21698,,18313,30435,18432,36280
10410471,10471 ZCTA5,10471 ZCTA5,us,860,0,ACSSF,13141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,10471,,,,,,,,,,,86000US10471,,,6687174,28258,22030,22030,8532.369,2.581932426,8980,667,265,302,287,398,202,290,314,364,740,799,1229,998,634,547,944,71798,71798,75645,71711,,72417,,53393,76146,59082,75060,103039,100758,139874,50283,63508,41813,48278,75455,18157,34963,66513,16029,61508,24750,41413,53434,62575,78711,65385,22083,49047,54786,75592,94514,56458,24958,36532,46768,53190,75000,71798,92412,53005,-43%,8980,6596,2384,8980,6282,2698,8980,923,8057,8980,2322,6658,8980,2969,6011,8980,293,8687,8980,82,8898,8980,1702,7278,8980,732,8248,43630,49370,35835,,28347,,22718,26195,30632,50925
10410472,10472 ZCTA5,10472 ZCTA5,us,860,0,ACSSF,13142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,10472,,,,,,,,,,,86000US10472,,,2720837,0,68898,68898,65584.59,1.050521083,21006,3541,2105,2020,1563,1193,1103,946,1061,841,1668,1422,1657,890,474,378,144,30288,30288,24825,32244,28750,33226,,31021,28750,28200,28306,43092,33430,45605,16675,27534,17583,20652,28412,10845,15107,31677,9439,24680,19737,23680,27661,38338,50625,25389,21982,25219,30359,37883,31424,23297,14798,21684,26396,38775,63589,30288,61322,26570,-57%,21006,15006,6000,21006,14547,6459,21006,1375,19631,21006,1072,19934,21006,4867,16139,21006,2628,18378,21006,1977,19029,21006,1798,19208,21006,3097,17909,14652,16968,15929,12861,13670,,13562,12020,13951,15387
